campaign_name,campaign_type,event31,event95,event29,event30,event94,event38,event33,event32
waveQ4_2014,Tactical,146509,100528,4898105,1051847,800240,4921118,23013,4629
quantum_initiative2014,Tactical,109903,82631,5129807,1170057,929134,5142061,12254,5125
Precruise Tactical,Tactical,28343,14230,121739,132981,58114,126420,4681,150
RC Sales,Tactical,15286,12145,539051,122005,95607,547380,8329,1167
NovOBC_2014,Tactical,8758,4983,-2887,94882,54929,0,2887,835
QNselfie_2014,Tactical,5379,2970,-3,40243,19718,0,3,481
Internal,Tactical,4488,364,4581,4107,663,4668,87,0
quantum_initiatives2014,Tactical,342,189,0,6309,2628,0,0,87
Tactical,Tactical,297,112,-10,4071,1340,0,10,38
OAClassReviteBookedGuest,Tactical,154,73,-1,2917,826,0,1,36
BOGO_Oct_2014,Tactical,147,102,-2,6128,3247,0,2,114
Loyalty Tactical,Tactical,71,45,647,1083,403,651,4,0
Choice_August_2014,Tactical,68,35,-1,2083,858,0,1,21
Veterans_2014,Tactical,40,17,0,238,79,0,0,2
eNewsletter,Tactical,34,18,0,667,196,0,0,3
WOW_Sept2014,Tactical,32,25,-4,2086,1083,0,4,24
WOW_August2014,Tactical,28,5,0,654,214,0,0,5
MayBOGOplusOBC_2014,Tactical,12,4,0,248,64,0,0,1
Offer_July2014,Tactical,10,8,0,605,235,0,0,2
MayBOGO_2014,Tactical,10,5,-2,311,154,0,2,4
Offer_August2014,Tactical,10,2,0,404,158,0,0,6
Weekend_WOW_October2014,Tactical,9,8,-1,629,378,0,1,12
Casino Royale,Tactical,6,3,103,160,40,103,0,1
JulyOBC_2014,Tactical,5,5,0,364,156,0,0,4
BOGOHO_SailFree_June2014,Tactical,5,5,0,358,124,0,0,0
CASLConfirmation,Tactical,5,2,0,95,25,0,0,0
Weekend_WOW_August2014,Tactical,4,4,0,298,111,0,0,6
BogoHO_June2014,Tactical,4,3,0,523,191,0,0,9
Weekend_WOW_September2014,Tactical,4,3,0,269,127,0,0,3
NO_OPEN_RC Sales,Tactical,4,3,0,125,58,0,0,1
Weekend_WOW_July2014,Tactical,4,2,0,132,67,0,0,3
BH_Free_2014,Tactical,3,2,0,116,57,0,0,2
Newsletter,Tactical,3,1,0,75,31,0,0,1
Wow_Sale_June2014,Tactical,2,2,0,275,101,0,0,4
Offer_August2014 B,Tactical,2,2,0,103,45,0,0,1
Weekend_WOW_June2014,Tactical,2,1,0,142,64,0,0,0
Casino Royale VIP Sailings,Tactical,2,1,0,66,7,0,0,0
ReactivationSeptember,Tactical,1,1,0,5,5,0,0,1
Casino Loyalty,Tactical,1,0,0,54,1,0,0,0
OA_Micro_2014,Tactical,1,0,0,15,5,0,0,0
Choice_August_2014_FAM,Tactical,0,0,0,73,28,0,0,2
ShortCaribBahamasSale_May2014,Tactical,0,0,0,55,26,0,0,0
ReactivationAugust,Tactical,0,0,0,22,17,0,0,0
Precruise,LifeCycle,14078,6498,19299,44618,14158,19622,323,17
Welcome,LifeCycle,1474,1058,10093,7347,4222,10213,120,56
Postcruise,LifeCycle,726,535,6831,5980,3508,6880,49,33
Internal,LifeCycle,21,5,353,51,15,353,0,0
Remarketing Cart Abandonment,Remarketing,12769,9230,136141,74747,50282,136677,536,103
Remarketing Courtesy Hold,Remarketing,0,0,1,1,1,1,0,0
Loyalty Tactical,Loyalty,5514,2700,0,29555,11296,0,0,74
Loyalty Trigger,Loyalty,1071,698,6663,6501,3035,6809,146,17
Internal,Loyalty,66,12,297,182,53,298,1,0
