"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5363243",NA,54969,41458,2565286,640940,503528,2573973,8687,2605
"em_5371968",NA,54934,41173,2564521,529117,425606,2568088,3567,2520
"em_5356046",NA,22590,14678,514901,131784,95244,517151,2250,544
"em_5356044",NA,22538,14625,514806,129165,93203,516956,2150,568
"em_5356045",NA,21914,14611,514697,130062,94652,516913,2216,550
"em_5356047",NA,20731,13590,514874,126254,92243,517152,2278,556
"em_5356048",NA,15800,10713,515184,119006,89902,517086,1902,503
"em_5359303",NA,12227,9808,473507,97797,78841,481343,7836,973
"em_5371149",NA,8967,6793,476547,84796,67996,479002,2455,359
"em_5371154",NA,8884,6824,442066,86979,69176,443080,1014,279
"em_5367419",NA,8705,6432,469465,82080,66013,472198,2733,428
"em_5367435",NA,8302,6137,467543,81063,66025,470366,2823,394
"em_5367427",NA,8078,6125,468022,80658,65786,471214,3192,448
"em_5370542",NA,5971,3428,23095,17910,9636,23345,250,6
"em_5344022",NA,5379,2970,-3,40243,19718,0,3,481
"em_5349076",NA,5109,3642,-2885,61817,38952,0,2885,458
"em_5359302",NA,2769,2177,65546,17826,13531,66037,491,72
"em_5370547",NA,2396,1319,6171,6259,3116,6402,231,3
"em_5366690",NA,2076,1150,7129,7825,3533,7250,121,11
"em_5337430",NA,2053,840,-1,17858,9133,0,1,194
"em_5327998",NA,1340,343,-1,10058,4426,0,1,95
"em_5347766",NA,1272,535,-66,4173,1030,0,66,6
"em_5358990",NA,1193,699,6618,6448,3189,6869,251,0
"em_5366699",NA,1121,611,3324,4068,1820,3458,134,2
"em_5366812",NA,963,616,6393,6078,3175,6649,256,7
"em_5347771",NA,767,247,-7,2037,330,0,7,1
"em_5359008",NA,654,412,4452,4828,2379,4684,232,9
"em_5355618",NA,584,451,10761,5790,3922,11090,329,11
"em_5362875",NA,536,240,775,1281,492,812,37,0
"em_5344238",NA,483,156,0,1579,245,0,0,3
"em_5362930",NA,446,308,6361,3580,2270,6484,123,2
"em_5370541",NA,401,307,3434,2922,1805,3483,49,0
"em_5325177",NA,397,104,0,1231,180,0,0,0
"em_5355619",NA,394,293,7110,4365,2931,7494,384,13
"em_5362938",NA,324,222,3780,2626,1569,3942,162,2
"em_5347723",NA,322,133,-27,853,97,0,27,0
"em_5359001",NA,318,264,12085,7567,5369,12711,626,17
"em_5282099",NA,266,71,0,645,94,0,0,3
"em_5321867",NA,264,69,0,649,56,0,0,1
"em_5366986",NA,262,165,1438,1402,754,1481,43,0
